distance,identity,clusters
0.00031372549019603735,0.999686274509804,864
0.0003137747097583521,0.9996862252902416,862
0.0003138239447669777,0.999686176055233,859
0.0003138731952291307,0.9996861268047709,857
0.0003139224611521385,0.9996860775388479,856
0.0003139717425432176,0.9996860282574568,855
0.0003140210394096954,0.9996859789605903,854
0.0003141690229343519,0.9996858309770656,853
0.0003143665513989369,0.9996856334486011,852
0.0003145643284051536,0.9996854356715948,851
0.0003146633102579788,0.999685336689742,849
0.00031471282454764715,0.9996852871754524,848
0.00031481189988979974,0.9996851881001102,847
0.0003149110376318154,0.9996850889623682,846
0.00031510950055146925,0.9996848904994485,844
0.0003152088258471242,0.9996847911741529,843
0.00031595576619269927,0.9996840442338073,839
0.00031615554852992833,0.9996838444514701,838
0.00031867431485022024,0.9996813256851498,837
0.00032020493115592075,0.9996797950688441,836
0.0003234152652005218,0.9996765847347995,835
0.0004670714619336991,0.9995329285380663,833
0.0004686767692547722,0.9995313232307452,832
0.00046882325363339916,0.9995311767463666,831
0.0004689698296076461,0.9995310301703924,830
0.0004691164972634443,0.9995308835027366,829
0.00046918986549893127,0.9995308101345011,828
0.00046948356807507974,0.9995305164319249,827
0.0004697040864255486,0.9995302959135745,826
0.0004699984333385032,0.9995300015666615,824
0.00047007207771854187,0.9995299279222815,823
0.0004702194357366629,0.9995297805642633,821
0.0004702931493965057,0.9995297068506035,819
0.0004703668861711918,0.9995296331138288,818
0.00047044064607182356,0.9995295593539282,815
0.0004705144291091701,0.9995294855708908,814
0.0004707359171505221,0.9995292640828495,812
0.00047080979284364055,0.9995291902071564,811
0.00047088369172809674,0.9995291163082719,809
0.00047095761381477086,0.9995290423861852,807
0.00047103155911443206,0.9995289684408856,804
0.0004711055276381826,0.9995288944723618,803
0.00047125353440147233,0.9995287464655985,802
0.0004716239584970916,0.9995283760415029,801
0.00047192071731949614,0.9995280792826805,799
0.0004719949653870792,0.9995280050346129,796
0.0004725897920604405,0.9995274102079396,795
0.0004739336492890489,0.999526066350711,794
0.0004744583267436431,0.9995255416732564,793
0.0004749089757796199,0.9995250910242204,792
0.0004759638267491928,0.9995240361732508,791
0.00047801147227533036,0.9995219885277247,790
0.0004849660523763566,0.9995150339476236,789
0.0005002501250624958,0.9994997498749375,788
0.000617093489663656,0.9993829065103363,787
0.0006206040546131719,0.9993793959453868,786
0.0006226650062266526,0.9993773349937733,785
0.0006227619492449321,0.9993772380507551,784
0.0006228589224540615,0.9993771410775459,783
0.0006229559258682515,0.9993770440741317,781
0.0006250976715111989,0.9993749023284888,780
0.000625390869293363,0.9993746091307066,779
0.0006255864873319084,0.9993744135126681,778
0.00062597809076681,0.9993740219092332,775
0.0006261740763932044,0.9993738259236068,774
0.000626664577784708,0.9993733354222153,773
0.0006269592476488839,0.9993730407523511,772
0.0006272541947623944,0.9993727458052376,768
0.0006273525721455231,0.9993726474278545,765
0.0006274509803921857,0.9993725490196078,764
0.0006275494195168152,0.9993724505804832,762
0.0006276478895339554,0.999372352110466,759
0.0006277463904582614,0.9993722536095417,758
0.000627844922304166,0.9993721550776958,757
0.0006279434850863241,0.9993720565149137,756
0.0006280420788192798,0.9993719579211807,754
0.0006282393591958702,0.9993717606408041,753
0.0006284367635506216,0.9993715632364494,750
0.0006285355122563896,0.9993714644877436,749
0.0006287331027978738,0.9993712668972021,748
0.0006291286568103072,0.9993708713431897,747
0.0006293266205160686,0.9993706733794839,745
0.0006294256490951833,0.9993705743509048,744
0.0006307158625039611,0.999369284137496,743
0.0006314127861088981,0.9993685872138911,742
0.0006328112640404671,0.9993671887359595,741
0.0006336131791541133,0.9993663868208459,740
0.0006338139755981409,0.9993661860244019,739
0.0007685213648939149,0.9992314786351061,738
0.0007741136398823345,0.9992258863601177,737
0.0007783312577832602,0.9992216687422167,735
0.0007784524365561651,0.9992215475634438,732
0.0007785736530675491,0.9992214263469325,731
0.0007786949073352867,0.9992213050926647,728
0.0007802746566791807,0.9992197253433208,726
0.0007814942169428463,0.9992185057830572,725
0.0007819831091648854,0.9992180168908351,724
0.0007825950853028729,0.9992174049146971,723
0.0007833307222309127,0.9992166692777691,722
0.0007839448102853197,0.9992160551897147,721
0.0007840677434530763,0.9992159322565469,716
0.0007841907151819871,0.999215809284818,713
0.0007843137254901489,0.9992156862745099,712
0.0007845598619174998,0.9992154401380825,710
0.0007848061528802353,0.9992151938471198,708
0.0007849293563578774,0.9992150706436421,707
0.0007850525985241275,0.9992149474014759,706
0.000785175879396971,0.999214824120603,705
0.0007852991989948377,0.9992147008010052,704
0.0007855459544383603,0.9992144540455616,703
0.0007859163784973422,0.9992140836215027,702
0.000786287152067966,0.999213712847932,701
0.0007907638779061088,0.9992092361220939,700
0.0007940289026520109,0.999205971097348,699
0.0009095043201454711,0.9990904956798545,698
0.0009339975093399788,0.99906600249066,697
0.0009341429238673982,0.9990658570761326,696
0.0009342883836811477,0.9990657116163189,694
0.0009355995633868464,0.9990644004366132,693
0.000936329588014928,0.9990636704119851,692
0.0009375000000000355,0.9990625,691
0.0009382329945269996,0.999061767005473,689
0.0009386733416770765,0.9990613266583229,688
0.0009389671361502705,0.9990610328638497,687
0.0009394081728510972,0.9990605918271489,686
0.0009399968666771175,0.9990600031333229,683
0.0009401441554371948,0.9990598558445628,682
0.0009404388714733258,0.9990595611285267,681
0.0009408812921436471,0.9990591187078564,677
0.0009410288582183401,0.9990589711417817,676
0.0009411764705882231,0.9990588235294118,675
0.0009414718343009332,0.9990585281656991,674
0.0009417673834563045,0.9990582326165437,672
0.0009419152276295417,0.9990580847723705,671
0.0009425070688030557,0.9990574929311969,670
0.0009438414346389923,0.999056158565361,669
0.0009439899307740474,0.999056010069226,668
0.0009460737937558861,0.9990539262062441,667
0.0009510223490252212,0.9990489776509748,665
0.0009551098376313627,0.9990448901623686,664
0.000957701516360765,0.9990422984836392,663
0.0009694619486184664,0.9990305380513815,662
0.0009705596894209467,0.999029440310579,661
0.0009707167125060367,0.999029283287494,660
0.0009940357852882276,0.9990059642147118,659
0.0010137875101379201,0.9989862124898621,658
0.0010896637608965865,0.9989103362391034,657
0.0010898334111786312,0.9989101665888214,656
0.0010925550179491372,0.9989074449820509,655
0.001094605160281481,0.9989053948397185,654
0.0010961478233636468,0.9989038521766364,653
0.0010966630111233222,0.9989033369888767,650
0.001096834848010042,0.99890316515199,648
0.001097350681925069,0.9989026493180749,647
0.001097694840834218,0.9989023051591658,644
0.0010987286140323738,0.9989012713859676,642
0.0010992462311557594,0.9989007537688442,641
0.0010997643362136156,0.9989002356637864,639
0.0010999371464487373,0.9989000628535513,638
0.001100282929896279,0.9988997170701037,637
0.0011004559031598804,0.9988995440968401,636
0.0011006289308176376,0.9988993710691824,635
0.0011018416496143546,0.9988981583503856,634
0.0011020151133501743,0.9988979848866498,633
0.0011027095148078425,0.9988972904851922,632
0.0011030570438070875,0.9988969429561929,631
0.0011105822624146722,0.9988894177375853,630
0.0011473528929684118,0.9988526471070316,629
0.0011541632316570682,0.9988458367683429,628
0.0011597084161696358,0.9988402915838304,627
0.0012455238984897532,0.9987544761015102,625
0.001245717844908123,0.9987542821550919,624
0.001245911851736503,0.9987540881482635,623
0.0012486343062275695,0.9987513656937724,622
0.0012494143370295197,0.9987505856629705,621
0.001250781738586615,0.9987492182614134,618
0.0012509773260359625,0.998749022673964,616
0.001253329155569527,0.9987466708444305,615
0.0012539184952977678,0.9987460815047022,614
0.0012545083895248998,0.9987454916104751,608
0.001255295779067911,0.9987447042209321,607
0.0012570710245128902,0.9987429289754871,606
0.0012574662055957475,0.9987425337944043,605
0.001258455246185286,0.9987415447538147,604
0.0012614317250079221,0.9987385682749921,603
0.0012636234402148006,0.9987363765597852,602
0.0012676279511962818,0.9987323720488037,601
0.0012692368713310698,0.9987307631286689,599
0.0012696397397238268,0.9987303602602762,598
0.0012742911755335706,0.9987257088244664,597
0.0012799999999999478,0.99872,596
0.0014012143858009862,0.998598785614199,595
0.0014014325755216106,0.9985985674244784,593
0.0014016508332035382,0.9985983491667965,592
0.0014038371548900086,0.99859616284511,591
0.001404494382022503,0.9985955056179775,590
0.0014047135945060019,0.998595286405494,589
0.0014073494917904439,0.9985926505082096,588
0.0014075695964966828,0.9985924304035033,587
0.0014080100125156703,0.9985919899874843,586
0.0014082303238929228,0.9985917696761071,585
0.0014099953000156207,0.9985900046999844,584
0.0014113219382154707,0.9985886780617845,582
0.0014126510751844013,0.9985873489248156,581
0.0014148718754912748,0.9985851281245087,580
0.0014159848961611265,0.9985840151038389,578
0.0014236001265421905,0.9985763998734578,577
0.0014238253440911341,0.9985761746559089,576
0.001426081445095817,0.9985739185549042,575
0.0014390789894467293,0.9985609210105533,574
0.0014430014430014682,0.9985569985569985,573
0.001535390756947641,0.9984646092430524,572
0.0015566625155666314,0.9984433374844334,571
0.0015569048731122193,0.9984430951268878,569
0.0015571473061352092,0.9984428526938648,568
0.0015573898146705734,0.9984426101853294,567
0.0015607928827844342,0.9984392071172156,566
0.0015629884338855815,0.9984370115661144,565
0.0015632327653587463,0.9984367672346413,564
0.0015637216575449253,0.9984362783424551,563
0.001566906925728584,0.9984330930742714,562
0.0015671524839366846,0.9984328475160633,561
0.0015681354869060415,0.998431864513094,560
0.001570105197048255,0.9984298948029517,559
0.0015718327569946844,0.9984281672430053,558
0.001572079861656972,0.998427920138343,557
0.0015735641227380137,0.998426435877262,555
0.0015827793605571738,0.9984172206394428,554
0.0015878056525880924,0.9984121943474119,553
0.0016469038208168918,0.9983530961791831,552
0.0017125953604234523,0.9982874046395765,549
0.0017128620367486969,0.9982871379632513,546
0.0017168721710628665,0.9982831278289371,545
0.001720362840162637,0.9982796371598374,544
0.0017249490355967234,0.9982750509644033,543
0.001725490196078483,0.9982745098039215,541
0.0017263025737601634,0.9982736974262398,540
0.001728744303001739,0.9982712556969983,539
0.0017290160326941528,0.9982709839673058,537
0.0017311929493232237,0.9982688070506768,536
0.0017325563080800022,0.99826744369192,535
0.0017418844022168978,0.9982581155977831,534
0.0017628205128205066,0.9982371794871795,533
0.0018679950186799577,0.99813200498132,532
0.0018682858477346853,0.9981317141522653,530
0.0018685767673621845,0.9981314232326378,529
0.0018764659890539992,0.998123534010946,527
0.001877346683354153,0.9981226533166458,526
0.0018776404318573414,0.9981223595681427,525
0.001879993733354235,0.9981200062666458,523
0.0018802883108743895,0.9981197116891256,522
0.0018805829807240215,0.998119417019276,521
0.0018817625842872943,0.9981182374157127,520
0.0018820577164366803,0.9981179422835633,519
0.001885902876001877,0.9981140971239981,518
0.0018876828692779846,0.998112317130722,517
0.0018879798615480947,0.9981120201384519,516
0.0019664196036908166,0.9980335803963092,515
0.0020236612702365653,0.9979763387297634,514
0.002023881805302552,0.9979761181946974,513
0.0020239763350459183,0.9979760236649541,509
0.0020328381548084806,0.9979671618451915,508
0.002033156083828591,0.9979668439161714,507
0.002033474112310363,0.9979665258876896,506
0.0020366598778004397,0.9979633401221996,504
0.0020388958594730333,0.997961104140527,503
0.002044989775051076,0.9979550102249489,502
0.002045311516677195,0.9979546884833228,501
0.002051443900899508,0.9979485560991005,500
0.002056636608131601,0.9979433633918684,499
0.0021933260222466444,0.9978066739777534,497
0.0021988377571854345,0.9978011622428146,496
0.0021998742928975856,0.9978001257071024,495
0.0022026431718061845,0.9977973568281938,494
0.002211341020375901,0.9977886589796241,493
0.0023455824863174435,0.9976544175136826,492
0.0023489216314328543,0.9976510783685671,491
0.002352203230359118,0.9976477967696409,490
0.0023525721455458504,0.9976474278544541,489
0.0023547880690737433,0.9976452119309263,488
0.002355527638190913,0.9976444723618091,487
0.002359974826935174,0.9976400251730648,485
0.002360346184106965,0.997639653815893,482
0.002424830261881672,0.9975751697381183,481
0.0024824162184525767,0.9975175837815474,480
0.0024910477969796174,0.9975089522030204,478
0.002491435689816246,0.9975085643101838,477
0.0024922118380061864,0.9975077881619938,476
0.002497268612455139,0.9975027313875449,475
0.0025031289111389077,0.9974968710888611,474
0.002516910492370572,0.9974830895076294,473
0.0025173064820641633,0.9974826935179358,472
0.0025400857278933264,0.9974599142721067,471
0.002542507548069284,0.9974574924519307,470
0.0025669821915610402,0.997433017808439,469
0.002586485612673828,0.9974135143873262,468
0.002588577900016209,0.9974114220999838,467
0.002646326276463218,0.9973536737235368,466
0.0026471504204297336,0.9973528495795703,464
0.0026475626849400413,0.99735243731506,463
0.0026583268178264063,0.9973416731821736,461
0.0026633244555851476,0.9973366755444149,460
0.0026658303277403705,0.9973341696722596,459
0.0026662484316185564,0.9973337515683814,458
0.0026683409197928443,0.9973316590802072,457
0.0026746381371931527,0.9973253618628068,455
0.0026928560114050093,0.997307143988595,454
0.002706144539955435,0.9972938554600446,453
0.0028024287716020835,0.9971975712283979,452
0.0028028651510433322,0.9971971348489567,451
0.00281392894829402,0.997186071051706,450
0.0028151391929934766,0.9971848608070065,449
0.0028164606477859566,0.997183539352214,448
0.0028186658315064728,0.9971813341684935,447
0.0028199906000313524,0.9971800093999686,446
0.002829298962590432,0.9971707010374096,445
0.002831969792322253,0.9971680302076777,443
0.002868068833651982,0.997131931166348,442
0.0028860028860029363,0.9971139971139971,441
0.0029097963142580285,0.997090203685742,440
0.0029141104294478914,0.9970858895705521,439
0.002957658779576544,0.9970423412204235,438
0.0029761904761904656,0.9970238095238095,437
0.002976656744477557,0.9970233432555224,436
0.0029785232795108696,0.9970214767204891,435
0.0029799247176913735,0.9970200752823086,433
0.002981327475286344,0.9970186725247137,432
0.0029893014474512425,0.9970106985525488,430
0.0030011056705101513,0.9969988943294898,428
0.0030072807850585193,0.9969927192149415,427
0.0030173098300778634,0.9969826901699221,426
0.003052699228791811,0.9969473007712082,425
0.00307443365695792,0.9969255663430421,424
0.003096934035305088,0.9969030659646949,423
0.0031147796293412577,0.9968852203706587,422
0.003115750116840621,0.9968842498831594,421
0.003116721209287854,0.9968832787907121,420
0.0031328320802005427,0.9968671679197995,419
0.003133322888923651,0.9968666771110763,417
0.003140210394096399,0.9968597896059036,416
0.003146633102580232,0.9968533668974198,415
0.0031590586005370014,0.996840941399463,414
0.0031635558367605343,0.9968364441632395,413
0.003182686187141903,0.9968173138128581,412
0.0032382108884840832,0.9967617891115159,411
0.0032689912826898704,0.9967310087173101,410
0.0032695002335357826,0.9967304997664642,408
0.0032899890333698556,0.9967100109666301,407
0.0032936010037640795,0.9967063989962359,406
0.0032987747408105283,0.9967012252591895,405
0.0033039647577092213,0.9966960352422908,403
0.003323836657169954,0.99667616334283,402
0.0033317467872441275,0.9966682532127559,401
0.003341820496499004,0.996658179503501,400
0.0033562410100687057,0.9966437589899313,399
0.0033814940055333365,0.9966185059944667,398
0.0034251907208469046,0.9965748092791531,397
0.0034257240734973937,0.9965742759265026,396
0.003438037193311483,0.9965619628066885,395
0.003440599069014394,0.9965594009309856,394
0.0034612964128382107,0.9965387035871618,393
0.0034821145932256714,0.9965178854067743,392
0.0035044320758605974,0.9964955679241394,391
0.0035803237858031967,0.9964196762141968,390
0.0035814388041108813,0.9964185611958891,389
0.0035948733979368486,0.9964051266020632,388
0.0036010646625959097,0.9963989353374041,387
0.003618628067967311,0.9963813719320327,386
0.0036496350364964014,0.9963503649635036,385
0.0036531130876746865,0.9963468869123253,384
0.0036647546207775328,0.9963352453792225,383
0.0036787247087676223,0.9963212752912324,382
0.0037021801727683545,0.9962978198272316,381
0.003731343283582045,0.996268656716418,380
0.003737153534724369,0.9962628464652756,379
0.0037511722413253734,0.9962488277586746,378
0.0037529319781078874,0.9962470680218921,377
0.003753518923991228,0.9962464810760088,375
0.00375998746670847,0.9962400125332915,374
0.0037759597230963005,0.9962240402769037,373
0.003777742798677819,0.9962222572013222,372
0.0038077106139933203,0.9961922893860067,371
0.003891656288916523,0.9961083437110835,370
0.0038922621827806037,0.9961077378172194,369
0.0038928682653378566,0.9961071317346621,368
0.0039215686274509665,0.996078431372549,367
0.003922183871979956,0.99607781612802,366
0.003928964325003892,0.9960710356749961,365
0.003940731399747821,0.9960592686002522,364
0.003979624323463882,0.9960203756765361,363
0.0039942482824731895,0.9960057517175268,362
0.004047322540473242,0.9959526774595268,360
0.004047763610605104,0.9959522363893949,359
0.0040758739614359385,0.9959241260385641,358
0.004083555834773045,0.995916444165227,357
0.004090623033354279,0.9959093769666457,356
0.004103535353535359,0.9958964646464646,355
0.004202988792029849,0.9957970112079702,354
0.00420364315740307,0.9957963568425969,353
0.004222048475371332,0.9957779515246287,352
0.004247954688483269,0.9957520453115167,350
0.004255319148936176,0.9957446808510638,348
0.004264055590650684,0.9957359444093493,347
0.0042708003796266825,0.9957291996203733,346
0.004276211593284729,0.9957237884067153,345
0.004284354173278326,0.9957156458267217,344
0.004296626352641608,0.9957033736473584,343
0.004299094119453395,0.9957009058805466,342
0.004303719643406034,0.995696280356594,341
0.0043600124571784304,0.9956399875428216,340
0.004376367614879695,0.9956236323851203,338
0.004386652044493178,0.9956133479555068,337
0.0044773549164801585,0.9955226450835198,336
0.0044828690361831125,0.9955171309638169,335
0.004516430462544796,0.9954835695374552,334
0.0045347928068804055,0.9954652071931196,333
0.004543389368468875,0.9954566106315311,332
0.004553042950371844,0.9954469570496282,331
0.004562617998741358,0.9954373820012586,330
0.004590060145615693,0.9954099398543843,329
0.004601226993865004,0.995398773006135,328
0.004601713741669289,0.9953982862583307,327
0.004691164972634887,0.9953088350273651,326
0.004699984333385587,0.9953000156666144,325
0.004702931493964613,0.9952970685060354,324
0.004711795193968915,0.9952882048060311,323
0.004719949653870348,0.9952800503461297,321
0.0047483380816714105,0.9952516619183286,320
0.004825653798256502,0.9951743462017435,319
0.004857316332726125,0.9951426836672739,318
0.004877281308999337,0.9951227186910007,317
0.004878048780487809,0.9951219512195122,316
0.004889589905362812,0.9951104100946372,315
0.004991680532445919,0.9950083194675541,314
0.005002273760800313,0.9949977262391997,313
0.00500390930414385,0.9949960906958562,312
0.005005474737994731,0.9949945252620053,311
0.005034612964128438,0.9949653870358716,310
